,id,_id,datetime,type,reference,description,extra
45,46,,2020-03-12T00:00:00Z,INFECTED,https://www.dawn.com/news/1540357,1 new case reported in Gilgit Baltistan taking the tally to 5,
46,47,,2020-03-16T00:00:00Z,INFECTED,https://www.dawn.com/news/1541368,1 new case reported in Sindh taking the tally to 36,
47,48,,2020-03-13T00:00:00Z,INFECTED,https://www.dawn.com/news/1540571,1 new case reported in Sindh taking the tally to 15,
48,49,,2020-03-18T00:00:00Z,DECEASED,https://www.dawn.com/news/1541943,1 new death reported in KPK taking the tally to 1,
49,50,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541936,1 new case reported in AJK taking the tally to 1,
50,51,,2020-03-18T00:00:00Z,INFECTED,https://www.dawn.com/news/1541948,5 new cases reported in Punjab taking the tally to 33,
51,84,,2020-03-18T00:00:00Z,DECEASED,https://www.dawn.com/news/1541947,1 new death reported in KPK taking the tally to 2,
52,86,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542132,3 new cases reported in Sindh taking the tally to 236,
53,87,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542162,2 new cases reported in Sindh taking the tally to 238,
54,88,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542157,22 new cases reported in Balochistan taking the tally to 81,
55,89,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542158,4 new cases reported in KPK taking the tally to 23,
56,90,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542162,2 new cases reported in Sindh taking the tally to 210,
57,91,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542175,45 new cases reported in Punjab taking the tally to 78,
58,92,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542180,2 new cases reported in Sindh taking the tally to 212,
59,93,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542198,6 new cases reported in Gilgit Baltistan taking the tally to 21,
60,94,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542201,21 new cases reported in Sindh taking the tally to 233,
61,95,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542180,31 new cases reported in Balochistan taking the tally to 54,
62,96,,2020-03-19T00:00:00Z,INFECTED,https://www.dawn.com/news/1542209,5 new cases reported in Balochistan taking the tally to 59,
63,97,,2020-03-20T00:00:00Z,INFECTED,https://www.dawn.com/news/1542377,2 new cases reported in Punjab taking the tally to 80,
64,98,,2020-03-20T00:00:00Z,INFECTED,https://www.dawn.com/news/1542418,11 new cases reported in Sindh taking the tally to 252,
65,99,,2020-03-20T00:00:00Z,INFECTED,https://www.dawn.com/news/1542399,16 new cases reported in Punjab taking the tally to 96,
66,100,,2020-03-20T00:00:00Z,DECEASED,https://www.dawn.com/news/1542368,1 new death reported in Sindh taking the tally to 1,
67,102,,2020-03-20T00:00:00Z,INFECTED,,8 new cases reported in Islamabad taking the tally to 10,
68,103,,2020-03-20T00:00:00Z,INFECTED,https://www.dawn.com/news/1542438,3 new cases reported in Sindh taking the tally to 241,
69,104,,2020-03-20T00:00:00Z,INFECTED,https://www.dawn.com/news/1542439,11 new cases reported in Balochistan taking the tally to 92,
70,105,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542620,15 new cases reported in Sindh taking the tally to 267,
71,106,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542645,2 new cases reported in KPK taking the tally to 25,
72,107,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542646,12 new cases reported in Balochistan taking the tally to 104,
73,108,,2020-03-21T12:00:00Z,INFECTED,https://www.dawn.com/news/1542649,2 new cases reported in KPK taking the tally to 27,
74,111,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542662,41 new cases reported in Punjab taking the tally to 137,
75,112,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542674,2 new cases reported in Sindh taking the tally to 269,
76,113,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542676,25 new cases reported in Gilgit Baltistan taking the tally to 46,
77,114,,2020-03-21T00:00:00Z,INFECTED,,9 new cases reported in Gilgit Baltistan taking the tally to 55,
78,115,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542677,22 new cases reported in Sindh taking the tally to 292,
79,116,,2020-03-21T13:00:00Z,INFECTED,https://www.dawn.com/news/1542681,4 new cases reported in KPK taking the tally to 31,
80,117,,2020-03-21T00:00:00Z,INFECTED,,1 new case reported in Sindh taking the tally to 270,
81,118,,2020-03-21T00:00:00Z,INFECTED,https://www.dawn.com/news/1542745,15 new cases reported in Punjab taking the tally to 152,
82,119,,2020-03-22T00:00:00Z,DECEASED,https://www.dawn.com/news/1542868,1 new death reported in KPK taking the tally to 3,
83,120,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542926,70 new cases reported in Punjab taking the tally to 225,
84,121,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542911,41 new cases reported in Sindh taking the tally to 352,
85,122,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542908,1 new case reported in Islamabad taking the tally to 11,
86,123,,2020-03-22T00:00:00Z,RECOVERED,https://www.dawn.com/news/1542962,1 new recovery reported in Sindh taking the tally to 4,
87,125,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542967,4 new cases reported in Balochistan taking the tally to 108,
88,127,,2020-03-22T00:00:00Z,INFECTED,,8 new cases reported in Sindh taking the tally to 300,
89,128,,2020-03-22T00:00:00Z,INFECTED,,16 new cases reported in Gilgit Baltistan taking the tally to 71,
90,129,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542970,3 new cases reported in Punjab taking the tally to 155,
91,130,,2020-03-22T00:00:00Z,INFECTED,https://www.dawn.com/news/1542983,11 new cases reported in Sindh taking the tally to 311,
92,131,,2020-03-22T00:00:00Z,DECEASED,,1 new death reported in Gilgit Baltistan taking the tally to 1,
93,132,,2020-03-23T00:00:00Z,DECEASED,https://www.dawn.com/news/1543100,1 new death reported in Balochistan taking the tally to 1,
94,133,,2020-03-16T00:00:00Z,RECOVERED,https://www.nih.org.pk/wp-content/uploads/2020/03/COVID-19-Daily-Updated-SitRep-17-Mar-2020.pdf,1 new recovery reported in Islamabad taking the tally to 1,
95,134,,2020-03-18T00:00:00Z,RECOVERED,https://www.nih.org.pk/wp-content/uploads/2020/03/COVID-19-Daily-Updated-SitRep-19-Mar-2020.pdf,1 new recovery reported in Islamabad taking the tally to 2,
96,135,,2020-03-23T00:00:00Z,INFECTED,https://www.dawn.com/news/1543112,4 new cases reported in Islamabad taking the tally to 15,
97,136,,2020-03-23T00:00:00Z,INFECTED,https://www.dawn.com/news/1543162,21 new cases reported in Punjab taking the tally to 246,
98,137,,2020-03-23T00:00:00Z,INFECTED,https://www.dawn.com/news/1543127,1 new case reported in KPK taking the tally to 32,
99,138,,2020-03-23T00:00:00Z,INFECTED,https://www.dawn.com/news/1543182,2 new cases reported in Balochistan taking the tally to 110,
100,139,,2020-03-23T12:00:00Z,INFECTED,https://www.dawn.com/news/1543170,6 new cases reported in KPK taking the tally to 38,
101,140,,2020-03-23T00:00:00Z,INFECTED,https://www.dawn.com/news/1543169,42 new cases reported in Sindh taking the tally to 394,
102,141,,2020-03-24T00:00:00Z,INFECTED,https://www.dawn.com/news/1543275,3 new cases reported in Punjab taking the tally to 267,
103,142,,2020-03-24T00:00:00Z,INFECTED,,5 new cases reported in Sindh taking the tally to 407,
104,143,,2020-03-24T00:00:00Z,INFECTED,,9 new cases reported in Gilgit Baltistan taking the tally to 80,
105,144,,2020-03-24T00:00:00Z,INFECTED,,8 new cases reported in Sindh taking the tally to 402,
106,145,,2020-03-24T00:00:00Z,INFECTED,,18 new cases reported in Punjab taking the tally to 264,
107,146,,2020-03-24T00:00:00Z,INFECTED,,14 new cases reported in Punjab taking the tally to 281,
108,147,,2020-03-24T00:00:00Z,INFECTED,,40 new cases reported in KPK taking the tally to 78,
109,148,,2020-03-24T00:00:00Z,RECOVERED,https://www.dawn.com/news/1543428,10 new recoveries reported in Sindh taking the tally to 14,
110,150,,2020-03-24T00:00:00Z,DECEASED,https://www.dawn.com/news/1543383,1 new death reported in Punjab taking the tally to 1,
111,151,,2020-03-25T00:00:00Z,INFECTED,,5 new cases reported in Balochistan taking the tally to 115,
112,152,,2020-03-25T00:00:00Z,INFECTED,,6 new cases reported in Sindh taking the tally to 413,
113,153,,2020-03-25T00:00:00Z,INFECTED,,15 new cases reported in Punjab taking the tally to 296,
114,154,,2020-03-25T00:00:00Z,INFECTED,,1 new case reported in Gilgit Baltistan taking the tally to 81,
115,155,,2020-03-25T00:00:00Z,INFECTED,,1 new case reported in Islamabad taking the tally to 21,
116,157,,2020-03-25T00:00:00Z,INFECTED,,2 new cases reported in Balochistan taking the tally to 117,
117,158,,2020-03-25T00:00:00Z,INFECTED,,14 new cases reported in Punjab taking the tally to 310,
118,159,,2020-03-25T00:00:00Z,INFECTED,,2 new cases reported in KPK taking the tally to 80,
119,160,,2020-03-25T00:00:00Z,INFECTED,,4 new cases reported in Islamabad taking the tally to 25,
120,161,,2020-03-11T00:00:00Z,RECOVERED,,1 new recovery reported in Sindh taking the tally to 2,
121,163,,2020-03-24T00:00:00Z,RECOVERED,,3 new recoveries reported in Punjab taking the tally to 3,
122,164,,2020-03-25T00:00:00Z,INFECTED,,14 new cases reported in Balochistan taking the tally to 131,
123,165,,2020-03-25T00:00:00Z,INFECTED,,4 new cases reported in Sindh taking the tally to 417,
124,166,,2020-03-25T00:00:00Z,INFECTED,,13 new cases reported in Punjab taking the tally to 323,
125,167,,2020-03-25T12:00:00Z,INFECTED,,41 new cases reported in KPK taking the tally to 121,
126,168,,2020-03-26T00:00:00Z,INFECTED,,3 new cases reported in Gilgit Baltistan taking the tally to 91,
127,169,,2020-03-25T00:00:00Z,INFECTED,,5 new cases reported in Islamabad taking the tally to 20,
128,170,,2020-03-26T00:00:00Z,INFECTED,,4 new cases reported in Sindh taking the tally to 429,
129,171,,2020-03-25T00:00:00Z,DECEASED,,1 new death reported in Punjab taking the tally to 2,
130,172,,2020-03-25T00:00:00Z,RECOVERED,,2 new recoveries reported in KPK taking the tally to 2,
131,173,,2020-03-26T00:00:00Z,INFECTED,,17 new cases reported in Punjab taking the tally to 359,
132,174,,2020-03-26T00:00:00Z,INFECTED,,5 new cases reported in Punjab taking the tally to 342,
133,175,,2020-03-26T12:00:00Z,INFECTED,,2 new cases reported in KPK taking the tally to 147,
134,176,,2020-03-26T00:00:00Z,INFECTED,,49 new cases reported in Punjab taking the tally to 408,
135,177,,2020-03-26T00:00:00Z,DECEASED,https://twitter.com/UsmanAKBuzdar/status/1243253507119071235,1 new death reported in Punjab taking the tally to 3,
136,178,,2020-03-26T00:00:00Z,INFECTED,,8 new cases reported in Sindh taking the tally to 425,
137,179,,2020-03-26T00:00:00Z,INFECTED,,14 new cases reported in Punjab taking the tally to 337,
138,180,,2020-03-26T00:00:00Z,INFECTED,,24 new cases reported in KPK taking the tally to 145,
139,181,,2020-03-26T00:00:00Z,INFECTED,,7 new cases reported in Gilgit Baltistan taking the tally to 88,
140,182,,2020-03-26T00:00:00Z,INFECTED,,1 new case reported in AJK taking the tally to 2,
141,183,,2020-03-26T00:00:00Z,INFECTED,,2 new cases reported in Islamabad taking the tally to 27,
142,184,,2020-03-26T00:00:00Z,RECOVERED,,2 new recoveries reported in Gilgit Baltistan taking the tally to 2,
143,185,,2020-03-27T00:00:00Z,INFECTED,,11 new cases reported in Sindh taking the tally to 440,
144,186,,2020-03-27T00:00:00Z,INFECTED,,6 new cases reported in Punjab taking the tally to 414,
145,187,,2020-03-27T00:00:00Z,INFECTED,,11 new cases reported in Punjab taking the tally to 425,
146,188,,2020-03-27T00:00:00Z,INFECTED,,33 new cases reported in KPK taking the tally to 180,
147,189,,2020-03-27T00:00:00Z,INFECTED,https://twitter.com/UsmanAKBuzdar/status/1243620127679172614,65 new cases reported in Punjab taking the tally to 490,
148,190,,2020-03-27T00:00:00Z,DECEASED,https://www.dawn.com/news/1544258,1 new death reported in Punjab taking the tally to 4,
149,191,,2020-03-27T00:00:00Z,INFECTED,,2 new cases reported in Balochistan taking the tally to 133,
150,192,,2020-03-27T00:00:00Z,INFECTED,,17 new cases reported in Sindh taking the tally to 457,
151,193,,2020-03-27T00:00:00Z,INFECTED,,16 new cases reported in Gilgit Baltistan taking the tally to 107,
152,194,,2020-03-27T00:00:00Z,INFECTED,,12 new cases reported in Islamabad taking the tally to 39,
153,195,,2020-03-27T12:00:00Z,DECEASED,,1 new death reported in Punjab taking the tally to 5,
154,196,,2020-03-27T00:00:00Z,RECOVERED,,1 new recovery reported in Punjab taking the tally to 4,
155,197,,2020-03-27T00:00:00Z,RECOVERED,,2 new recoveries reported in Balochistan taking the tally to 2,
156,198,,2020-03-27T00:00:00Z,RECOVERED,,1 new recovery reported in Gilgit Baltistan taking the tally to 3,
157,200,,2020-03-28T00:00:00Z,DECEASED,https://www.dawn.com/news/1544461,1 new death reported in KPK taking the tally to 4,
158,201,,2020-03-28T00:00:00Z,INFECTED,,12 new cases reported in Sindh taking the tally to 481,
159,202,,2020-03-28T00:00:00Z,INFECTED,,67 new cases reported in Punjab taking the tally to 557,
160,203,,2020-03-28T00:00:00Z,INFECTED,,8 new cases reported in KPK taking the tally to 188,
161,204,,2020-03-28T00:00:00Z,INFECTED,,12 new cases reported in Sindh taking the tally to 469,
162,205,,2020-03-28T00:00:00Z,INFECTED,,1 new case reported in Punjab taking the tally to 558,
163,206,,2020-03-28T00:00:00Z,INFECTED,,9 new cases reported in Gilgit Baltistan taking the tally to 116,
164,207,,2020-03-28T00:00:00Z,INFECTED,,4 new cases reported in Islamabad taking the tally to 43,
165,208,,2020-03-28T00:00:00Z,INFECTED,,5 new cases reported in Balochistan taking the tally to 138,
166,209,,2020-03-28T00:00:00Z,DECEASED,https://twitter.com/SindhHealthDpt/status/1244288898731323392,1 new death reported in Sindh taking the tally to 2,
167,210,,2020-03-28T00:00:00Z,RECOVERED,,1 new recovery reported in Gilgit Baltistan taking the tally to 4,
168,211,,2020-03-29T00:00:00Z,INFECTED,,21 new cases reported in Sindh taking the tally to 502,
169,212,,2020-03-29T00:00:00Z,INFECTED,,13 new cases reported in Punjab taking the tally to 571,
170,213,,2020-03-29T00:00:00Z,INFECTED,,4 new cases reported in AJK taking the tally to 6,
171,214,,2020-03-29T00:00:00Z,INFECTED,,3 new cases reported in Balochistan taking the tally to 141,
172,215,,2020-03-29T00:00:00Z,INFECTED,,4 new cases reported in KPK taking the tally to 192,
173,216,,2020-03-29T00:00:00Z,DECEASED,https://twitter.com/UsmanAKBuzdar/status/1244331725200723969,1 new death reported in Punjab taking the tally to 6,
174,217,,2020-03-29T00:00:00Z,DECEASED,https://www.dawn.com/news/1544758,1 new death reported in KPK taking the tally to 5,
175,218,,2020-03-29T00:00:00Z,DECEASED,https://twitter.com/SindhHealthDpt/status/1244288898731323392,1 new death reported in Sindh taking the tally to 3,
176,219,,2020-03-29T00:00:00Z,DECEASED,https://www.dawn.com/news/1544898/govt-claims-27pc-cases-due-to-local-transmission,1 new death reported in Gilgit Baltistan taking the tally to 2,
177,220,,2020-03-29T00:00:00Z,INFECTED,https://twitter.com/UsmanAKBuzdar/status/1244331725200723969,28 new cases reported in Punjab taking the tally to 599,
178,221,,2020-03-30T00:00:00Z,INFECTED,,3 new cases reported in Balochistan taking the tally to 152,
179,222,,2020-03-30T00:00:00Z,INFECTED,,8 new cases reported in Islamabad taking the tally to 51,
180,223,,2020-03-30T00:00:00Z,INFECTED,,12 new cases reported in Gilgit Baltistan taking the tally to 128,
181,224,,2020-03-30T00:00:00Z,INFECTED,,6 new cases reported in Sindh taking the tally to 566,
182,225,,2020-03-30T12:00:00Z,INFECTED,,3 new cases reported in KPK taking the tally to 221,
183,226,,2020-03-30T00:00:00Z,DECEASED,https://twitter.com/SindhHealthDpt/status/1244523054601994241,2 new deaths reported in Sindh taking the tally to 6,
184,227,,2020-03-29T00:00:00Z,RECOVERED,,1 new recovery reported in Islamabad taking the tally to 3,
185,229,,2020-03-29T00:00:00Z,RECOVERED,,2 new recoveries reported in Sindh taking the tally to 16,
186,231,,2020-03-30T00:00:00Z,INFECTED,,19 new cases reported in Punjab taking the tally to 651,
187,233,,2020-03-30T00:00:00Z,INFECTED,,8 new cases reported in Balochistan taking the tally to 149,
188,234,,2020-03-30T00:00:00Z,INFECTED,,27 new cases reported in Sindh taking the tally to 529,
189,235,,2020-03-29T00:00:00Z,RECOVERED,,1 new recovery reported in Punjab taking the tally to 5,
190,236,,2020-03-30T00:00:00Z,RECOVERED,https://twitter.com/SindhHealthDpt/status/1244654428436733952,25 new recoveries reported in Sindh taking the tally to 41,
191,237,,2020-03-30T00:00:00Z,INFECTED,https://twitter.com/HealthKPGovt/status/1244642859128586240,26 new cases reported in KPK taking the tally to 218,
192,238,,2020-03-30T00:00:00Z,INFECTED,,10 new cases reported in Punjab taking the tally to 609,
193,239,,2020-03-30T00:00:00Z,INFECTED,https://twitter.com/UsmanAKBuzdar/status/1244699969606561792,23 new cases reported in Punjab taking the tally to 632,
194,240,,2020-03-30T00:00:00Z,DECEASED,https://twitter.com/UsmanAKBuzdar/status/1244699969606561792,3 new deaths reported in Punjab taking the tally to 9,
195,241,,2020-03-30T00:00:00Z,INFECTED,https://twitter.com/SindhHealthDpt/status/1244691149681561601,31 new cases reported in Sindh taking the tally to 560,
196,242,,2020-03-30T00:00:00Z,DECEASED,,1 new death reported in KPK taking the tally to 6,
197,243,,2020-03-30T00:00:00Z,DECEASED,,1 new death reported in Sindh taking the tally to 4,
198,244,,2020-03-31T00:00:00Z,INFECTED,,1 new case reported in Balochistan taking the tally to 153,
199,245,,2020-03-31T00:00:00Z,INFECTED,,3 new cases reported in Islamabad taking the tally to 54,
200,246,,2020-03-31T00:00:00Z,INFECTED,,20 new cases reported in Gilgit Baltistan taking the tally to 148,
201,247,,2020-03-31T00:00:00Z,INFECTED,,1 new case reported in Punjab taking the tally to 652,
202,248,,2020-03-31T00:00:00Z,INFECTED,,61 new cases reported in Sindh taking the tally to 627,
203,250,,2020-03-31T00:00:00Z,RECOVERED,,1 new recovery reported in Sindh taking the tally to 42,
204,251,,2020-03-31T00:00:00Z,RECOVERED,https://twitter.com/LiaquatShahwani/status/1244929832674373632,15 new recoveries reported in Balochistan taking the tally to 17,
205,252,,2020-03-31T00:00:00Z,INFECTED,,49 new cases reported in Sindh taking the tally to 676,
206,253,,2020-03-31T00:00:00Z,INFECTED,,24 new cases reported in Punjab taking the tally to 676,
207,254,,2020-03-31T00:00:00Z,RECOVERED,https://twitter.com/SindhHealthDpt/status/1245033820363075586,10 new recoveries reported in Sindh taking the tally to 52,
208,255,,2020-03-31T00:00:00Z,DECEASED,https://www.dawn.com/news/1545297,2 new deaths reported in Sindh taking the tally to 8,
209,256,,2020-03-31T00:00:00Z,INFECTED,https://twitter.com/UsmanAKBuzdar/status/1245061363132743683,32 new cases reported in Punjab taking the tally to 708,
210,257,,2020-03-31T00:00:00Z,INFECTED,https://twitter.com/HealthKPGovt/status/1245044066959663104,32 new cases reported in KPK taking the tally to 253,
211,258,,2020-04-01T00:00:00Z,INFECTED,,5 new cases reported in Balochistan taking the tally to 164,
212,259,,2020-04-01T00:00:00Z,INFECTED,,36 new cases reported in Gilgit Baltistan taking the tally to 184,
213,260,,2020-04-01T00:00:00Z,INFECTED,,32 new cases reported in Punjab taking the tally to 845,
214,261,,2020-04-01T00:00:00Z,INFECTED,,33 new cases reported in Sindh taking the tally to 709,
215,262,,2020-04-01T00:00:00Z,INFECTED,https://twitter.com/KPCoronaUpdates/status/1245418985820225536,21 new cases reported in KPK taking the tally to 274,
216,263,,2020-04-01T00:00:00Z,DECEASED,https://twitter.com/KPCoronaUpdates/status/1245418985820225536,2 new deaths reported in KPK taking the tally to 8,
217,264,,2020-04-01T00:00:00Z,INFECTED,https://twitter.com/UsmanAKBuzdar/status/1245424668082933760,105 new cases reported in Punjab taking the tally to 813,
218,265,,2020-04-01T00:00:00Z,INFECTED,,6 new cases reported in Balochistan taking the tally to 159,
219,266,,2020-04-01T00:00:00Z,DECEASED,,2 new deaths reported in Punjab taking the tally to 11,
220,267,,2020-04-01T00:00:00Z,DECEASED,https://www.dawn.com/news/1545587,1 new death reported in Sindh taking the tally to 9,
221,268,,2020-04-02T00:00:00Z,INFECTED,,3 new cases reported in AJK taking the tally to 9,
222,269,,2020-04-02T00:00:00Z,INFECTED,,5 new cases reported in Balochistan taking the tally to 169,
223,270,,2020-04-02T00:00:00Z,INFECTED,,8 new cases reported in Islamabad taking the tally to 62,
224,271,,2020-04-02T00:00:00Z,INFECTED,,3 new cases reported in Gilgit Baltistan taking the tally to 187,
225,272,,2020-04-02T00:00:00Z,INFECTED,,34 new cases reported in Sindh taking the tally to 743,
226,273,,2020-04-01T00:00:00Z,RECOVERED,,6 new recoveries reported in Sindh taking the tally to 58,
227,274,,2020-04-01T00:00:00Z,RECOVERED,,1 new recovery reported in Punjab taking the tally to 6,
228,275,,2020-04-01T00:00:00Z,RECOVERED,,17 new recoveries reported in KPK taking the tally to 19,
229,276,,2020-04-02T00:00:00Z,INFECTED,,77 new cases reported in Punjab taking the tally to 922,
230,277,,2020-04-02T00:00:00Z,INFECTED,,18 new cases reported in Sindh taking the tally to 761,
231,278,,2020-04-02T00:00:00Z,DECEASED,,1 new death reported in KPK taking the tally to 9,
232,279,,2020-04-02T00:00:00Z,INFECTED,https://twitter.com/KPCoronaUpdates/status/1245765892706836481,37 new cases reported in KPK taking the tally to 311,
